Facility Name,Hospital overall rating,Beds Available ,Cardio Rating,Neuro Rating,Ortho Rating,Doctors on Duty,Distance,Y
COLQUITT REGIONAL MEDICAL CENTER,4,17,3,5,4,8,7,1
LOMA LINDA UNIVERSITY MEDICAL CENTER,2,4,1,1,3,11,6,0
ANNE ARUNDEL MEDICAL CENTER,3,13,3,1,5,7,20,1
"ASCENSION VIA CHRISTI HOSPITALS WICHITA, INC.",4,5,3,3,5,11,12,1
HARRINGTON MEMORIAL HOSPITAL-1,3,6,5,1,2,15,3,0
NATIONAL JEWISH HEALTH,4,30,3,4,5,10,26,1
PRAIRIE COMMUNITY HOSPITAL,3,12,3,5,1,17,7,0
SETON MEDICAL CENTER HARKER HEIGHTS,4,29,5,2,5,15,27,1
PATIENTS CHOICE MEDICAL CENTER,3,15,4,2,2,20,1,1
SUSAN B ALLEN MEMORIAL HOSPITAL,3,25,5,1,3,8,12,1
KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE,2,28,1,2,2,10,9,0
SAN GABRIEL VALLEY MEDICAL CENTER,2,26,1,1,2,7,16,0
WORCESTER RECOVERY CENTER AND HOSPITAL,3,13,2,2,3,9,14,0
JULIAN F KEITH ALCOHOL & DRUG ABUSE TX,2,11,3,1,2,6,18,0
NEW HANOVER REGIONAL MEDICAL CENTER,4,10,5,1,4,14,29,0
STRATEGIC BEHAVIORAL CENTER-CHARLOTTE,3,26,3,3,1,20,24,0
W J MANGOLD MEMORIAL HOSPITAL,4,9,3,2,5,12,3,1
CABELL HUNTINGTON HOSPITAL INC,1,20,1,1,1,20,8,0
OSAGE BEACH CENTER FOR COGNITIVE DISORDERS,3,24,1,5,1,13,9,0
CHERRY COUNTY HOSPITAL,4,13,4,4,4,11,6,1
WARREN MEMORIAL HOSPITAL,3,27,4,3,2,9,27,0
CHARLESTON AREA MEDICAL CENTER,4,18,5,4,3,18,7,1
PARKLAND MEDICAL CENTER,3,3,2,4,3,13,5,0
HOUSTON METHODIST HOSPITAL,2,11,2,3,1,6,6,0
WEST VALLEY MEDICAL CENTER,4,20,5,3,4,19,13,1
JAY HOSPITAL,3,2,4,2,2,19,24,0
FAULKTON AREA MEDICAL CENTER,4,4,5,4,2,10,18,0
ADVENTHEALTH WATERMAN,2,12,2,1,1,9,21,0
HAMPTON REGIONAL MEDICAL CENTER,2,15,3,1,1,13,9,0
LADD MEMORIAL HOSPITAL,4,23,5,4,1,18,24,0
HEART HOSPITAL OF LAFAYETTE,4,12,2,4,5,12,9,1
ESSENTIA HEALTH FOSSTON,3,16,5,2,2,14,26,0
PROMEDICA MONROE REGIONAL HOSPITAL,4,21,3,4,4,17,27,0
"COOLEY DICKINSON HOSPITAL INC,THE",5,20,5,5,5,12,27,1
LAKEWOOD REGIONAL MEDICAL CENTER,3,18,2,2,3,17,19,0
PHOENIXVILLE HOSPITAL,3,10,2,2,5,13,18,1
"MOUNTAIN VISTA MEDICAL CENTER, LP",4,28,4,5,2,19,6,1
GRANDVIEW HOSPITAL & MEDICAL CENTER,3,9,5,1,1,9,18,0
CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST,3,8,2,1,4,18,29,0
LEGACY SALMON CREEK MEDICAL CENTER,4,18,4,5,2,7,23,0
KANSAS SURGERY & RECOVERY CENTER,3,15,1,5,1,18,2,0
PHELPS MEMORIAL HEALTH CENTER,4,2,3,5,4,7,28,0
GEISINGER JERSEY SHORE HOSPITAL,5,29,5,5,4,14,1,1
SAINT AGNES HOSPITAL,4,10,5,4,3,14,29,0
REGIONAL MEDICAL CENTER BAYONET POINT,1,21,1,1,1,7,17,0
BAPTIST HEALTH MADISONVILLE,2,4,2,2,2,8,12,0
SPRING HARBOR HOSPITAL,3,17,1,3,3,13,16,0
THE BURDETT CARE CENTER,4,30,4,1,5,6,17,1
UCHEALTH PIKES PEAK REGIONAL HOSPITAL,4,4,5,3,3,16,20,0
COOK CHILDRENS MEDICAL CENTER,4,27,4,1,5,11,25,1
FORKS COMMUNITY HOSPITAL,2,26,1,2,1,19,3,0
INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,5,23,5,4,5,7,18,1
BHC ALHAMBRA HOSP,3,19,1,4,2,17,20,0
LEESBURG REGIONAL MEDICAL CENTER,4,23,4,2,5,8,20,1
ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE,2,16,2,2,2,5,17,0
BEAVER VALLEY HOSPITAL,2,28,3,1,2,9,26,0
TRUSTPOINT HOSPITAL,2,17,1,2,2,5,22,0
"PHYSICIANS CENTRE,THE",3,6,5,2,2,5,21,0
FRANCISCAN HEALTH HAMMOND,4,6,3,2,5,6,21,0
ASPIRUS LANGLADE HOSPITAL,3,26,3,4,2,19,5,1
EMORY DECATUR HOSPITAL,4,10,4,5,3,14,3,1
UNION GENERAL HOSPITAL,4,13,4,4,3,6,18,0
ST MARY'S HOSPITAL AT AMSTERDAM,3,7,2,3,2,13,20,0
RICHLAND PARISH HOSPITAL-DELHI,3,17,5,1,1,7,6,0
BOONE COUNTY HEALTH CENTER,3,30,3,3,1,16,19,0
MERCY HOSPITAL COLUMBUS,3,15,4,2,2,11,9,0
COMM BEHAVIORAL HEALTH HOSP,3,18,1,5,2,16,17,0
VIA CHRISTI HOSPITAL PITTSBURG INC,4,27,4,5,1,7,29,0
DOMINICAN HOSPITAL,2,21,2,1,3,14,26,0
CRETE AREA MEDICAL CENTER,2,6,1,4,1,14,15,0
HUTCHINGS PSYCHIATRIC CTR,3,7,4,3,1,16,18,0
SHODAIR CHILDREN'S HOSPITAL,2,6,2,2,2,15,21,0
KAISER FOUNDATION HOSPITAL - ZION,3,5,1,4,4,6,25,0
ABRAZO WEST CAMPUS,5,28,4,4,5,14,13,1
"JANE PHILLIPS NOWATA HOSPITAL, INC",4,27,5,3,4,5,14,1
EMANUEL MEDICAL CENTER,4,10,5,3,2,11,18,0
ADVENTIST BOLINGBROOK HOSPITAL,5,17,4,4,5,6,27,0
HOSPITAL DAMAS INC,3,25,4,3,1,7,6,0
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,4,20,4,4,2,13,6,0
HSHS ST ELIZABETH'S HOSPITAL,4,10,3,4,5,14,6,1
OSWEGO COMMUNITY HOSPITAL,5,25,5,5,3,13,3,1
MEMORIAL HOSPITAL OF SOUTH BEND,3,30,4,3,1,7,27,0
RIVERVIEW HOSPITAL,3,24,4,2,2,19,15,0
MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,3,18,5,2,2,15,26,0
NORTHERN LOUISIANA MEDICAL CENTER,1,20,1,1,1,17,4,0
EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS,3,2,3,2,4,5,6,0
MANHATTAN SURGICAL HOSPITAL LLC,2,28,2,1,2,16,15,0
CACHE VALLEY  HOSPITAL,3,16,1,4,4,7,11,1
UPLAND HILLS HEALTH,2,28,4,1,1,20,1,1
EAST TENNESSEE CHILDRENS HOSPITAL,3,5,3,3,2,20,10,0
SAMARITAN NORTH LINCOLN HOSPITAL,4,13,5,4,1,5,15,0
CARY MEDICAL CENTER,4,25,5,1,5,13,18,1
VALLEY HOSPITAL,3,9,1,3,3,14,23,0
WELLSTAR DOUGLAS HOSPITAL,5,17,5,5,5,20,26,1
NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER,3,16,3,1,3,12,17,0
KIOWA COUNTY MEMORIAL HOSPITAL,4,15,2,5,4,10,6,1
ASCENSION ST VINCENT'S RIVERSIDE,4,21,5,2,3,15,17,0
NAVARRO REGIONAL HOSPITAL,4,19,4,4,4,6,25,0
SOUTH LYON MEDICAL CENTER,4,22,5,5,2,12,28,0
HURLEY MEDICAL CENTER,4,27,3,5,4,8,14,1
OTTO KAISER MEMORIAL HOSPITAL,3,14,2,3,2,20,4,0
TRINITY HOSPITALS,4,5,2,4,4,19,23,0
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,3,8,1,3,4,5,12,0
CENTRAL LOUISIANA SURGICAL HOSPITAL,3,17,4,2,2,7,11,0
GLACIAL RIDGE HOSPITAL,3,27,2,3,2,17,9,1
HILO MEDICAL CENTER,2,4,1,4,1,11,24,0
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,3,30,4,2,1,19,5,0
MAD RIVER COMMUNITY HOSPITAL,3,13,4,2,3,7,19,0
ELMHURST HOSPITAL CENTER,3,23,2,3,3,16,13,1
BEHAVIORAL HEALTHCARE CENTER AT MARTIN,4,29,5,5,1,10,24,0
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,4,27,2,4,4,17,25,1
RIVERSIDE SHORE MEMORIAL HOSPITAL,2,20,1,4,1,6,26,0
GENESIS HEALTH SYSTEM,4,14,3,5,2,7,22,0
THREE RIVERS HEALTH,3,19,4,3,2,15,17,0
NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,2,24,3,2,1,8,5,0
ALBANY MEMORIAL HOSPITAL,3,3,1,2,4,16,12,0
SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,5,24,4,5,5,6,13,1
FOOTHILLS HOSPITAL,2,29,2,3,1,16,3,0
MEADOWS PSYCHIATRIC CENTER,4,3,4,5,1,14,9,0
NATIONAL PARK MEDICAL CENTER,4,22,3,3,5,9,7,1
VALLEY CHILDREN'S HOSPITAL,3,29,2,1,4,5,1,1
ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,3,19,2,3,2,12,24,0
COBLESKILL REGIONAL HOSPITAL,3,26,4,2,2,17,25,0
PARKLAND HEALTH CENTER,1,19,1,1,1,14,8,0
GROVE HILL MEMORIAL HOSPITAL,3,24,5,1,3,8,8,1
WEBSTER COUNTY MEMORIAL HOSPITAL,4,14,5,2,3,20,12,0
NORTHEASTERN CENTER,3,9,2,2,3,20,4,1
MCLAREN CENTRAL MICHIGAN,2,13,1,1,4,19,8,1
CENTRAL DESERT BEHAVIORAL HEALTH CENTER,4,9,4,3,3,17,7,0
SILOAM SPRINGS REGIONAL HOSPITAL,2,3,2,1,2,15,25,0
COALINGA REGIONAL MEDICAL CENTER,3,10,2,1,5,19,23,0
MOAB REGIONAL HOSPITAL,3,22,4,1,4,5,17,1
VALLEY COUNTY HEALTH SYSTEM,3,22,2,3,2,18,5,1
MAIN LINE HOSPITAL BRYN MAWR CAMPUS,5,14,5,4,5,18,16,1
"ARKANSAS HEART HOSPITAL, LLC",3,11,2,2,3,20,26,0
MEMORIAL HOSPITAL,4,10,2,5,4,7,12,1
CORAL SHORES BEHAVIORAL HEALTH,3,30,5,2,1,17,19,0
COPPER QUEEN COMMUNITY HOSPITAL,4,8,5,1,4,18,30,0
BLUE MOUNTAIN HOSPITAL,3,6,2,3,3,9,16,0
HILLCREST HOSPITAL CUSHING,4,15,2,3,5,20,26,1
SURPRISE VALLEY COMMUNITY HOSPITAL,3,18,5,1,2,11,17,0
"SAINT ALPHONSUS MEDICAL CENTER - BAKER CITY, INC",2,2,1,2,1,7,26,0
O U MEDICINE,4,28,4,5,3,6,12,1
SANFORD MEDICAL CENTER HILLSBORO,3,23,2,3,2,12,18,0
DANIELS MEMORIAL HOSPITAL,3,6,3,3,2,20,10,0
RIVERSIDE METHODIST HOSPITAL,2,17,2,2,1,13,6,0
MILAN GENERAL HOSPITAL,3,7,3,4,1,16,22,0
SINGING RIVER HEALTH SYSTEM,3,8,4,3,2,11,26,0
CALHOUN-LIBERTY HOSPITAL,4,22,5,4,1,6,29,0
MORTON HOSPITAL,3,28,5,1,1,9,15,0
GOLDEN PLAINS COMMUNITY HOSPITAL,3,14,3,2,3,11,14,0
HOSPITAL METROPOLITANO SAN GERMAN,3,20,4,1,3,9,14,0
CLAIBORNE MEDICAL CENTER,4,22,4,5,2,20,21,0
UNION HOSPITAL,3,3,1,4,4,6,23,0
LINCOLN HOSPITAL,4,9,5,1,4,19,23,0
MERCY ONE ELKADER MEDICAL CENTER,2,12,1,3,1,9,6,0
UPSON REGIONAL MEDICAL CENTER,2,14,2,2,2,16,15,0
WILLAPA HARBOR HOSPITAL,3,8,4,2,2,5,15,0
HOUSTON METHODIST ST JOHN HOSPITAL,3,16,1,5,2,20,2,1
ST LUKE'S MEDICAL CENTER,3,7,3,2,2,17,2,0
BUFFALO HOSPITAL,4,7,3,4,5,15,27,0
ALLEN HOSPITAL,3,10,2,2,4,7,16,0
AURORA MEDICAL CTR WASHINGTON COUNTY,3,16,1,2,5,16,2,1
BUTLER MEMORIAL HOSPITAL,5,17,5,5,4,9,14,1
SOUTHEASTERN REGIONAL MEDICAL CENTER,3,6,3,2,4,13,27,0
MOSAIC MEDICAL CENTER - MARYVILLE,3,19,2,3,2,12,29,0
OCHSNER MEDICAL CENTER - BATON ROUGE,3,23,2,4,1,9,5,0
HARLINGEN MEDICAL CENTER,3,23,1,1,5,20,17,1
JAMAICA HOSPITAL MEDICAL CENTER,2,20,3,1,2,19,11,0
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),3,27,4,1,3,17,17,1
CAMERON MEMORIAL COMMUNITY HOSPITAL INC,4,27,4,3,3,14,17,1
UNIVERSITY HOSPITALS PORTAGE MEDICAL CENTER,3,29,2,1,4,19,25,1
FIRST TEXAS HOSPITAL,4,30,5,5,1,16,12,0
WINDSOR LAURELWOOD CENTER FOR BEHAVORIAL MEDICINE,4,20,5,4,1,16,16,0
CATALINA ISLAND MEDICAL CENTER,3,28,2,4,3,14,26,0
HENRY FORD MACOMB HOSPITAL,3,12,3,2,3,16,4,1
NATCHAUG HOSPITAL,5,20,3,5,5,19,18,1
O'CONNOR HOSPITAL,3,15,3,2,3,20,22,0
BLUFFTON HOSPITAL,3,25,2,4,1,11,9,0
SHARP CORONADO HOSPITAL AND HLTHCR CTR,4,29,4,4,2,14,30,0
ST JAMES MERCY HOSPITAL,5,11,5,5,5,14,4,1
TENNOVA HEALTHCARE-CLARKSVILLE,3,9,3,1,3,5,28,0
OLATHE MEDICAL CENTER,3,6,4,2,1,8,16,0
DESERT VIEW HOSPITAL,3,13,3,2,3,11,28,0
UMD MEDICAL CENTER,3,9,5,2,2,11,16,0
HILL CREST BEHAVIORAL HEALTH SERVICES,4,29,3,3,5,15,16,1
PRESBYTERIAN SANTA FE MEDICAL CENTER,3,17,5,2,2,11,13,0
NATCHITOCHES REGIONAL MEDICAL CENTER,4,6,5,1,4,17,1,1
OGALLALA COMMUNITY HOSPITAL,4,4,5,5,1,19,10,0
VENTURA COUNTY MEDICAL CENTER,3,10,4,2,1,9,25,0
MONROE REGIONAL HOSPITAL,3,7,4,2,1,12,13,0
ASCENSION ST VINCENT'S CLAY COUNTY,3,11,5,1,1,18,13,0
JENNINGS SENIOR CARE HOSPITAL,4,23,4,4,2,9,3,1
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,4,18,4,3,4,14,28,0
GEORGE REGIONAL HEALTH SYSTEM,3,16,1,4,2,8,12,0
WINONA HEALTH SERVICES,3,20,1,4,3,6,23,0
BARNES-KASSON COUNTY HOSPITAL,2,16,3,1,2,13,1,0
MT EDGECUMBE HOSPITAL,4,5,5,2,5,8,16,1
NIOBRARA VALLEY HOSPITAL,5,19,4,5,5,11,29,1
REAGAN MEMORIAL HOSPITAL,3,24,2,2,4,13,20,1
UNIVERSITY OF ALABAMA HOSPITAL,4,27,4,1,5,13,10,1
SIOUX CENTER HEALTH,3,2,4,2,2,8,24,0
HUMBOLDT COUNTY MEMORIAL HOSPITAL,3,3,5,1,2,20,28,0
CENTRAL FLORIDA REGIONAL HOSPITAL,3,27,3,3,3,15,8,1
ASHLEY COUNTY MEDICAL CENTER,4,15,4,5,2,8,21,0
CHRISTUS OCHSNER LAKE AREA HOSPITAL,3,7,1,4,3,11,17,0
MAPLE GROVE HOSPITAL,4,2,2,5,5,8,1,1
MEMORIAL SATILLA HEALTH,2,21,2,3,1,19,3,0
THE HOSPITALS OF PROVIDENCE HORIZON CITY CAMPUS,3,16,4,1,2,18,6,0
WELLSTAR SYLVAN GROVE HOSPITAL,4,7,4,4,2,19,22,0
GIRARD MEDICAL CENTER,4,26,5,3,4,14,9,1
COPPER HILLS YOUTH CENTER,3,28,2,3,4,14,8,1
SAMPSON REGIONAL MEDICAL CENTER,4,3,4,1,5,6,6,1
JACKSON MEDICAL CENTER,2,16,2,1,3,19,21,0
PLAZA MEDICAL CENTER OF FORT WORTH,2,13,2,1,3,7,12,0
HANCOCK COUNTY HOSPITAL,2,30,2,1,3,6,10,1
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,3,2,3,2,4,5,13,0
BELLEVUE MEDICAL CENTER,3,5,2,2,3,16,4,0
TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,2,8,1,3,2,8,9,0
MCGEHEE HOSPITAL,5,11,5,3,5,14,27,0
CHOATE MENTAL HEALTH & DEVELOPMENT CTR,2,29,2,1,2,11,21,0
"BEAUMONT HOSPITAL, TROY",3,27,1,2,4,11,27,0
EAST LIVERPOOL CITY HOSPITAL,3,3,4,3,1,9,6,0
NORTHWEST CENTER FOR BEHAVIORAL HEALTH (NCBH),2,29,2,2,2,9,10,0
"MERCY HOSPITAL LOGAN COUNTY, INC",4,2,3,2,5,18,26,0
DR JOHN C CORRIGAN MENTAL HEALTH CENTER,2,24,2,1,1,9,23,0
GOODALL WITCHER HOSPITAL,2,4,1,3,2,12,13,0
DOCTORS HOSPITAL OF MANTECA,4,8,2,5,5,18,1,1
ALTUS BAYTOWN HOSPITAL,3,11,2,2,4,15,28,0
BROOK LANE HEALTH SERVICES,3,9,2,5,2,7,7,0
DOMINION HOSPITAL,3,26,1,5,2,13,10,0
OVIEDO MEDICAL CENTER,3,19,4,2,1,19,3,0
CHILDRESS REGIONAL MEDICAL CENTER,4,14,5,1,4,8,14,1
"COPPER SPRINGS HOSPITAL, LLC",3,12,4,1,4,18,17,0
MINIMALLY INVASIVE SURGERY HOSPITAL,4,14,2,5,5,12,25,0
CENTERPOINT MEDICAL CENTER,4,22,2,4,5,15,25,1
STORMONT VAIL HOSPITAL,4,19,3,3,5,12,23,1
PRESENCE ST MARYS HOSPITAL,4,7,1,4,5,16,15,1
RUTHERFORD REGIONAL MEDICAL CENTER,2,29,2,1,3,16,28,0
NIOBRARA HEALTH & LIFE CENTER,3,3,1,2,5,7,13,1
SENTARA RMH MEDICAL CENTER,3,30,3,5,1,20,23,0
SAINT MARY'S HEALTH CARE,5,29,5,4,5,17,14,1
BELTON REGIONAL MEDICAL CENTER,3,3,1,1,5,15,10,1
CRENSHAW COMMUNITY HOSPITAL,3,3,1,3,4,16,2,1
MENIFEE VALLEY MEDICAL CENTER,4,17,5,2,4,17,14,1
UPMC CHAUTAUQUA AT WCA,3,29,2,2,5,20,1,1
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,4,21,3,3,4,7,24,0
CROUSE HOSPITAL,2,4,1,1,2,11,15,0
LARNED STATE HOSPITAL,3,12,2,2,3,7,2,1
MERIT HEALTH BILOXI,2,19,2,2,1,9,19,0
MANNING REGIONAL HEALTHCARE CENTER,2,17,1,3,2,7,10,0
ALBERT EINSTEIN MEDICAL CENTER,4,11,5,5,2,6,16,0
UNITED MEMORIAL MEDICAL CENTER,4,6,5,1,4,20,4,1
WYOMING COUNTY COMMUNITY HOSPITAL,3,29,5,2,1,7,21,0
CORNERSTONE BEHAVIORAL HEALTH EL DORADO,3,4,1,1,5,11,20,0
MIDSTATE MEDICAL CENTER,3,5,3,1,4,12,28,0
ST CATHERINE HOSPITAL INC,3,16,2,4,2,16,24,0
PALMS WEST HOSPITAL,3,15,2,4,2,20,26,0
ST FRANCIS REGIONAL MEDICAL CENTER,3,8,4,1,2,5,10,0
GHS HILLCREST MEMORIAL HOSPITAL,3,11,1,3,3,17,23,0
RIVER PLACE BEHAVIORAL HEALTH,4,17,5,5,2,17,1,1
HIGHLINE MEDICAL CENTER,2,9,2,1,1,7,8,0
"BEHAVIORAL HEALTHCARE CENTER AT MEMPHIS, INC",3,13,1,1,5,17,17,1
ESSENTIA HEALTH ST MARYS - DETROIT LAKES,5,2,5,5,4,6,3,1
STEWARD ROCKLEDGE HOSPITAL,3,27,1,5,2,9,22,0
ST ELIZABETH MEDICAL CENTER NORTH,4,14,5,4,2,8,16,0
SALEM MEMORIAL DISTRICT HOSPITAL,5,29,5,5,5,13,23,1
BELLIN MEMORIAL HOSPITAL,3,21,4,3,1,11,29,0
RED RIVER BEHAVIORAL HEALTH SYSTEM,3,14,5,1,2,7,20,0
ADVENTHEALTH GORDON,3,27,1,2,5,10,21,1
ST MARYS HOSPITAL,3,2,2,4,3,10,26,0
CLEAR VISTA HEALTH & WELLNESS,3,2,2,3,4,12,5,1
SPRINGHILL MEDICAL CENTER,5,6,4,5,5,6,20,0
ST MARY MEDICAL CENTER INC,4,4,5,3,2,5,9,0
BOONE HOSPITAL CENTER,3,28,5,2,1,9,6,0
HALE COUNTY HOSPITAL,3,2,5,1,2,16,23,0
PLAINVIEW HOSPITAL,5,17,4,5,5,10,1,1
CROWNPOINT HEALTHCARE FACILITY,4,15,5,1,5,8,10,1
LOUIS A WEISS MEMORIAL HOSPITAL,4,23,5,3,2,20,20,0
FAYETTE COUNTY MEMORIAL HOSPITAL,4,12,5,2,4,7,11,1
DALLAS MEDICAL CENTER,2,8,2,2,1,9,19,0
LANE REGIONAL MEDICAL CENTER,2,16,1,4,1,10,26,0
BAPTIST MEDICAL CENTER - NASSAU,5,15,5,5,4,8,2,1
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,3,13,3,4,2,19,30,0
PREVOST MEMORIAL HOSPITAL,2,13,3,1,1,7,20,0
LAKEWAY REGIONAL HOSPITAL,1,12,1,1,1,14,13,0
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,4,28,5,4,1,15,4,0
FRANCISCAN HEALTH INDIANAPOLIS,5,16,4,5,5,8,18,1
ASCENSION ST JOSEPH HOSPITAL,4,17,4,2,4,20,16,1
HIGHLAND HOSPITAL,2,2,1,4,1,12,24,0
MERCY HOSPITAL WASHINGTON,2,4,1,2,2,7,6,0
CHI HEALTH ST FRANCIS,3,2,2,4,3,20,25,0
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4,24,1,4,5,14,23,1
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,3,24,5,3,1,7,6,0
AHMC ANAHEIM REGIONAL MEDICAL CENTER,4,9,4,2,5,19,25,0
MEMORIAL MEDICAL CENTER LIVINGSTON,1,15,1,1,1,8,10,0
CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,3,8,5,2,1,6,22,0
AVERA ST MARY'S HOSPITAL,3,14,1,4,4,7,19,0
REGIONAL MEDICAL CENTER OF SAN JOSE,4,22,4,2,5,11,29,1
ROGERS MEMORIAL HOSPITAL,4,12,5,5,2,11,13,0
LAWRENCE COUNTY MEMORIAL HOSPITAL,3,20,2,1,4,12,27,0
PHS INDIAN HOSPITAL AT EAGLE BUTTE,3,21,2,5,1,13,12,0
TEXAS COUNTY MEMORIAL HOSPITAL,4,10,3,5,2,6,13,0
SANTA FE PHS INDIAN HOSPITAL,5,8,5,3,5,14,5,1
TUALITY COMMUNITY HOSPITAL,3,28,5,3,1,14,7,0
TWIN COUNTY REGIONAL HOSPITAL,3,30,4,1,3,12,5,1
NATIONWIDE CHILDREN'S HOSPITAL,4,10,4,4,3,9,22,0
TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH,4,6,5,4,3,19,16,0
AURORA SAN DIEGO,4,3,1,5,5,18,18,1
NORTHEAST FLORIDA STATE HOSPITAL,3,16,5,1,2,12,21,0
OKLAHOMA SPINE HOSPITAL,3,15,3,5,1,11,27,0
SCRIPPS GREEN HOSPITAL,2,4,2,3,1,9,1,0
SWIFT COUNTY BENSON HOSPITAL,3,16,2,3,3,14,7,1
LUTHERAN MEDICAL CENTER,3,6,4,1,4,7,2,1
SHELBY BAPTIST MEDICAL CENTER,3,6,2,3,4,20,7,1
UNIVERSITY HOSPITAL AND MEDICAL CENTER,3,25,2,4,1,16,22,0
FHN MEMORIAL HOSPITAL,3,30,5,1,3,13,4,1
HONORHEALTH DEER VALLEY MEDICAL CENTER,2,30,1,4,1,20,21,0
